ID;L3;Years of L3;Gender;L3 selfasses;L3 grade;L2 selfasses;L2 grade;V2Non-SU-I-1;V2Non-SU-I-2 ;V2Non-SU-I-3;V2Non-SU-I-4;V2Non-SU-I-5;V2Non-SU-I-6;V2SU-I-1 ;V2SU-I-2;V2SU-I-3;V2SU-I-4;V2SU-I-5;V2SU-I-6;V3Non-SU-I-1;V3Non-SU-I-2;V3Non-SU-I-3;V3Non-SU-I-4;V3Non-SU-I-5;V3Non-SU-I-6;V3SU-I-1;V3SU-I-2;V3SU-I-3;V3SU-I-4;V3SU-I-5;V3SU-I-6
DINU655;2;4;2;2;3;5;5;1;1;2;2;1;3;3;4;2;2;2;3;3;4;3;4;4;3;4;3;4;3;4;4
BELN858;2;4;2;2,5;;5;;2;2;2;2;;2;2;2;2;2;2;2;4;4;3;3;;3;3;3;3;4;4;3
DANI992;2;4;2;3,5;5;6;5;2;2;1;2;2;2;2;3;3;2;3;2;3;4;4;4;4;4;4;2;3;2;4;3
SJAL145;2;4;1;2;3;5;5;1;2;2;2;2;2;2;3;3;2;1;4;1;4;4;4;4;4;4;1;3;3;4;2
NUNR617;2;4;1;5;4;6;6;2;2;2;2;2;2;3;2;3;2;3;2;3;4;3;4;3;3;4;4;4;4;4;4
HCAE872;2;4;1;3;2;4;4;2;2;2;2;2;1;3;3;3;2;2;3;3;4;4;4;3;4;3;2;3;3;4;4
ITOL131;2;3;1;2;4;5;5;1;1;1;1;1;1;1;1;1;1;1;1;3;4;4;4;4;4;4;4;4;4;4;4
IINR531;2;3;1;3;3;5;4;1;2;2;4;1;1;2;2;1;2;2;2;2;4;3;4;3;3;3;2;3;4;4;4
Å/SEIS482;2;3;1;3;4;6;5;2;3;2;2;2;2;1;2;3;2;3;1;3;3;4;4;3;3;4;4;4;3;4;4
HMAR265;2;3;1;2;3;6;4;1;1;1;2;1;1;1;1;1;2;1;1;2;4;4;2;4;4;4;4;4;4;4;4
HSIM701;2;3;1;2;3;6;4;1;1;1;1;1;1;1;1;1;1;1;1;2;4;4;2;4;3;4;1;2;1;4;2
NELA025;2;3;1;2;3;6;3;1;1;1;1;1;1;1;1;1;1;1;2;1;4;3;3;3;3;3;2;3;2;3;4
BELE709;2;3;1;3;4;5;4;1;2;2;1;1;2;2;2;2;2;2;2;2;3;3;4;3;3;3;3;3;3;3;3
NANO063;2;3;2;3,5;3;6;5;1;2;1;2;1;1;2;3;2;2;2;2;3;3;3;4;2;3;3;2;3;3;4;3
IMAA434;2;3;2;3,5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;3,5;4;3,5;4;4;4;4;1;4;4;4;4
SGJA256;2;3;2;3;5;6;6;1;2;2;3;2;2;2;3;3;2;2;3;3;4;3;3;4;4;3;4;4;4;4;4
ÅLIR696;2;3;1;2,5;4;3,5;4;1;1;2;2;3;2;3;2;2;3;3;3;2;3;4;3;4;4;3;2;3;3;4;3
IMAL544;2;3;1;2;3;6;5;2;2;2;2;3;4;1;2;2;2;3;2;2;4;3;3;3;4;4;4;4;4;4;4
IMOA911;2;3;1;2;3;6;4;1;1;1;1;1;3;1;1;1;1;2;1;3;4;3;4;4;4;3;4;4;4;4;3
HKRV479;2;3;1;2;2;5;4;3;1;1;1;1;1;3;1;1;1;1;1;3;3;2,5;3;4;4;3;1;4;4;3;4
NMAI990;2;3;1;2;3;4,5;4;2;2;2;2;1;3;3;2;2;1;2;2;3;3;3;3,5;2;2;3;2;3;3;4;4
DELA/Å933;2;3;1;2;3;6;5;3;2;2;3;1;3;2;4;1;4;3;2;2;3;4;3;2;1;3;2;2;2;3;2
BUSH911;2;3;;3;4;5;6;1;1;1;4;1;1;1;1;1;2;1;1;3;3;4;4;4;4;3;4;4;4;4;4
BHEO936;2;3;1;2;2;5;2;1;3;2;2;1,5;1;4;1;4;4;;3;1;4;2,5;4;4;2,5;4;2;3;2,5;4;4
TRAO116;2;3;1;2;4;3,5;4;2;2;2;4;2;3;3;3;3;3;3;4;3;3;3;3;3;4;3;3;2;3;4;3
STOD300;2;3;2;3;5;6;4;1;2;1;1;3;3;;3;2;2;3;2;3;4;3;4;3;4;3;4;3;4;4;3
