language	subject	disambiguation	item	crit1	crit2	crit3	AoO	age
S	s1	1	1	0.345135486	-0.561878888	0.703606997	19.00	20.00
S	s1	2	2	-0.267933205	-1.584962501	0.185214872	19.00	20.00
S	s1	1	3	-1.156342029	0.989804233	-1.584962501	19.00	20.00
S	s1	2	4	-1.584962501	-0.087462841	-1.584962501	19.00	20.00
S	s1	1	5	1.584962501	0.183122304	1.584962501	19.00	20.00
S	s1	2	6	-0.782408565	-0.854802084	-1.175849835	19.00	20.00
S	s1	1	7	-0.160464672	-0.469485283	-0.233199176	19.00	20.00
S	s1	2	8	1.396260292	1.584962501	1.584962501	19.00	20.00
S	s1	1	9	-1.257797757	0.940293754	-1.584962501	19.00	20.00
S	s1	2	10	-1.584962501	0.485426827	-1.584962501	19.00	20.00
S	s1	1	11	-0.395928676	0.689070904	-1.078002512	19.00	20.00
S	s1	2	12	1	0.107713817	1.584962501	19.00	20.00
S	s1	1	13	-0.782408565	-0.04508789	-0.932885804	19.00	20.00
S	s1	2	14	-1.584962501	-0.736965594	-1.584962501	19.00	20.00
S	s1	1	15	0.790904401	0.147341716	0.580193257	19.00	20.00
S	s1	2	16	-1.584962501	-1.584962501	-1.584962501	19.00	20.00
S	s10	2	1	-1.584962501	-0.206450877	-1.584962501	18.00	23.00
S	s10	1	2	-1.584962501	0	-1.584962501	18.00	23.00
S	s10	2	3	-1.584962501	-1.584962501	-1.584962501	18.00	23.00
S	s10	1	4	0.190822342	-1.463400521	0.854802084	18.00	23.00
S	s10	2	5	-0.321928095	-0.796466606	-0.788495895	18.00	23.00
S	s10	1	6	-1.584962501	0.561878888	-1.584962501	18.00	23.00
S	s10	2	7	0.722992652	-1.049468676	1.222392421	18.00	23.00
S	s10	1	8	-0.615519968	-1.584962501	-0.770518154	18.00	23.00
S	s10	2	9	1.332319701	0.946228744	1.584962501	18.00	23.00
S	s10	1	10	-0.281412935	-1.584962501	-0.339206086	18.00	23.00
S	s10	2	11	0.7206176	1.584962501	0	18.00	23.00
S	s10	1	12	-1.584962501	-1.150242636	-1.584962501	18.00	23.00
S	s10	2	13	0	-1.584962501	0.176156955	18.00	23.00
S	s10	1	14	0.657894023	1.584962501	0.123735368	18.00	23.00
S	s10	2	15	1.309328058	1.584962501	1.584962501	18.00	23.00
S	s10	1	16	0.593090382	1.584962501	0.636187824	18.00	23.00
